icao_code,group,latitude,longitude,change
LFFN,G3,48.4297981262207,4.48222017288208,22.6153846153846
EPBP,G3,52.00078,23.1325278,22.5
KPBF,G3,34.1731,-91.9356,22.4761904761905
KIMT,G3,45.8184013367,-88.1145019531,22.4642857142857
FA37,G3,26.1168003082275,-81.7031021118164,22.3982869379015
2GA6,G3,34.9173011779785,-85.0524978637695,22.3870967741935
43TN,G3,35.618056,-86.0025,22.3333333333333
OR44,G3,44.153301,-123.065002,22.25
MS54,G3,34.0097999572754,-89.736198425293,22.2
KO42,G3,36.3987998962402,-119.107002258301,22.1739130434783
K2R7,G3,30.8194007873535,-90.1125030517578,22.1666666666667
LFJC,G3,47.4383010864258,3.50861001014709,22
PR24,G3,17.9764003753662,-67.1707992553711,22
SBJR,G3,-22.986773,-43.372194,22
OK02,G3,35.1108016967773,-97.4816970825195,22
MT37,G3,48.124698638916,-114.23999786377,22
UMMB,G3,53.960461,27.650596,22
TS63,G3,33.2458992004394,-96.5642013549805,21.9074074074074
KGON,G3,41.3301010131836,-72.0450973510742,21.8809523809524
3AR6,G3,34.7285995483398,-92.5164031982422,21.8
3PA4,G3,41.7779006958008,-76.1371994018555,21.8
LFRV,G3,47.7233009338379,-2.71855998039246,21.6904761904762
KMKY,G3,25.995001,-81.672501,21.6875
1AR1,G3,34.5271987915039,-91.8727035522461,21.6111111111111
02MS,G3,34.1001014709473,-90.8468017578125,21.5
NE85,G3,41.687198638916,-98.3025970458984,21.5
LYNI,G3,43.337299,21.853701,21.4
33FA,G3,27.5981006622314,-80.8459014892578,21.3777777777778
86LA,G3,30.9738006591797,-90.6657028198242,21.3333333333333
AR22,G3,34.3815002441,-91.9585037231,21.1428571428571
0ME4,G3,44.742469,-68.474403,21
CFF9,G3,53.0313987731934,-112.77799987793,21
KMIT,G3,35.507401,-119.192002,20.9433962264151
WN47,G3,47.0816993713379,-123.269996643066,20.9166666666667
58NC,G3,35.3468017578125,-82.0550994873047,20.9047619047619
8WA0,G3,46.8776016235352,-122.600997924805,20.7
K7M1,G3,33.62020111,-91.3647995,20.6363636363636
GA72,G3,34.8816986083984,-84.8897018432617,20.625
LKPL,G3,49.7230987548828,13.4521999359131,20.5714285714286
92XS,G3,26.4790000916,-97.6872024536,20.3809523809524
KT05,G3,26.5627994537353,-97.4377975463867,20.1764705882353
9GA6,G3,33.0978012085,-83.4047012329,20.175
KCKA,G3,36.7439002991,-98.1231002808,20
EYJB,G3,55.118049621,22.7648735,20
KSBY,G3,38.3404998779297,-75.5102996826172,20
KK09,G3,43.4533996582031,-74.5176010131836,19.8235294117647
DE17,G3,38.7779006958008,-75.5832977294922,19.7714285714286
KMCN,G3,32.6927986145019,-83.6492004394531,19.7307692307692
KANB,G3,33.5882,-85.8581,19.7021276595745
OKAS,G3,29.346700668335,47.5208015441895,19.6666666666667
1NK7,G3,43.4667015075684,-75.2496032714844,19.5555555555556
48NC,G3,35.7817001342773,-80.4169006347656,19.5
FA60,G3,27.238899230957,-81.3859024047852,19.4230769230769
CT19,G3,41.9682006835938,-72.5398025512695,19.4054054054054
32GA,G3,33.4542007446289,-83.2778015136719,19.258064516129
KEAU,G3,44.8657989501953,-91.4842987060547,19.25
FD33,G3,28.2117004394531,-81.9987030029297,19.1385542168675
23MI,G3,44.573601,-85.889,19.1304347826087
KBFM,G3,30.6268005371,-88.0680999756,19.130081300813
85WI,G3,45.0443992614746,-92.2928009033203,19.125
YEDE,G3,-37.0167007446289,141.266998291016,19
OH91,G3,40.70009995,-84.23439789,18.8235294117647
KBFL,G3,35.43360138,-119.0569992,18.8108108108108
17MT,G3,48.1071014404297,-114.177001953125,18.6666666666667
KDAW,G3,43.2840995788574,-70.9292984008789,18.463768115942
1OH4,G3,40.5553016662598,-84.3865966796875,18.4545454545455
08NC,G3,36.0676002502441,-80.4655990600586,18.3636363636364
TN44,G3,36.3466987609863,-84.0121994018555,18.3076923076923
6AK5,G3,61.1683006286621,-150.160995483398,18.2947976878613
1NC3,G3,36.1806983947754,-76.1491012573242,18.2857142857143
KMBL,G3,44.2723999,-86.24690247,18.2736842105263
KIIY,G3,33.77939987,-82.81580353,18.25
KL84,G3,35.6236,-119.685997,18.1111111111111
14ME,G3,44.7925987243652,-69.0702972412109,18.05
LZRY,G3,49.078056,21.099722,18
OMAJ,G3,24.1874008178711,52.6139984130859,18
1SD8,G3,45.0476989746094,-96.5525970458984,18
PA45,G3,41.4166984558105,-76.9329986572266,18
21AR,G3,34.7176017761231,-91.5390014648438,17.9230769230769
40AK,G3,60.5553016662598,-150.841995239258,17.8771929824561
