icao_code,long_destination,medium_destination,short_destination,latitude,longitude,group
KFNL,0,0,0,40.451804,-105.011,C
SPLP,0,0,0,-12.16069984436,-76.998901367188,C
5OI0,0,1,0,39.2841987609863,-84.2113037109375,C
KT67,0,1,0,32.93119812,-97.41169739,C
RKSO,1,0,0,37.090599,127.029999,C
96FL,0,0,0,29.2425003051758,-82.5454025268555,C
KW32,2,0,0,38.7482986450195,-76.9328002929688,C
SAAR,1,0,0,-32.9036,-60.785,C
WSAP,14,0,1,1.3604199886322,103.910003662109,C
KSTP,0,0,0,44.9345016479492,-93.0599975585938,C
FAGM,17,0,0,-26.2425003052,28.1511993408,C
K4A5,0,0,1,35.8969993591309,-92.6589965820312,C
KCDC,0,0,0,37.701000213623,-113.098999023438,C
KJFK,241,95,16,40.639801,-73.7789,C
KVCB,0,0,0,38.3768005371094,-121.96199798584,C
LLSD,2,0,0,32.1147,34.7822,C
EGFF,0,1,0,51.3967018127441,-3.34332990646362,C
EPGD,0,0,0,54.3776016235352,18.4661998748779,C
KSFB,0,1,0,28.7775993347168,-81.2375030517578,C
LPFR,1,0,0,37.0144004822,-7.96590995789,C
21FL,0,0,0,28.5086002349853,-81.8003005981445,C
OMRK,0,0,0,25.6135005950928,55.9388008117676,C
09FL,0,0,0,27.0555992126465,-81.9705963134766,C
71MI,0,0,1,42.0843851004,-83.5170149803,C
EBOS,1,0,0,51.1988983154,2.8622200489,C
KADS,1,0,0,32.9686012268,-96.8364028931,C
KU42,1,4,1,40.61949921,-111.9929962,C
OBBI,2,2,18,26.2707996368408,50.6335983276367,C
UT13,1,0,0,40.5638999938965,-112.013999938965,C
6IN6,1,0,0,39.548900604248,-86.4766998291016,C
CYHZ,0,1,0,44.8807983398,-63.5085983276,C
KSMO,0,0,0,34.0158,-118.450996,C
LSZF,0,0,1,47.4436,8.23361,C
VMMC,7,1,0,22.149599,113.592003,C
KBDU,0,2,0,40.0393981934,-105.225997925,C
KWRI,2,0,0,40.0155983,-74.59169769,C
LSGG,3,0,0,46.2380981445313,6.10895013809204,C
VAPO,4,0,0,18.5820999145508,73.9197006225586,C
EGGW,12,1,2,51.874698638916,-0.368333011865616,C
KIWA,1,0,0,33.30780029,-111.6549988,C
KMEM,6,0,0,35.0424003601074,-89.9766998291016,C
KSAC,0,0,0,38.5125007629,-121.492996216,C
LPPR,0,0,0,41.2481002808,-8.68138980865,C
72FL,2,0,0,28.1575164794922,-81.2347946166992,C
FARA,1,0,0,-26.0845963451,28.3903865814,C
KIAH,19,5,1,29.9843997955322,-95.3414001464844,C
RCSS,0,0,0,25.0694007873535,121.552001953125,C
2GE8,1,0,0,33.4641990661621,-84.6632995605469,C
KSPG,0,0,0,27.7651,-82.626999,C
KSUU,1,0,0,38.262699127197,-121.92700195312,C
LSZB,1,0,0,46.914100647,7.49714994431,C
RPLL,61,3,3,14.5086,121.019997,C
YBCG,1,0,0,-28.1644001007,153.505004883,C
YSSY,111,3,19,-33.9460983276367,151.177001953125,C
CO02,0,1,0,39.6296997070312,-104.518997192383,C
EPWA,1,0,7,52.1656990051,20.9671001434,C
GVNP,0,1,0,14.9245004653931,-23.4934997558594,C
KANE,0,0,0,45.145,-93.211401,C
KPWA,0,0,0,35.53419876,-97.64710236,C
KSKF,0,0,0,29.38419914,-98.58110046,C
KTEB,5,9,1,40.8501014709,-74.060798645,C
LEMD,108,0,43,40.471926,-3.56264,C
TLPL,0,0,0,13.7332,-60.952599,C
